#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
98	GRID-   5-R3C1		Human mRNA for alpha-actinin, partial  cds	RIKEN cDNA 3110023F10 gene	BG065930 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065930>		23961	109711	
99	GRID-   5-R3C2	expressed sequence AA959742	Rat mRNA for p34 protein, complete  cds	expressed sequence C78668	BG079486 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079486>	AA959742	172720	97711	
100	GRID-   5-R3C4	Transcribed sequences		expressed sequence C79744	BG066527 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066527>		172796	97301	
101	GRID-   5-R3C5		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG080060 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080060>		no value	-	
102	GRID-   5-R4C1		Mus musculus hypothetical protein  (Yr29-pending), mRNA	RIKEN cDNA 5730427N09 gene	BG080382 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080382>		27796	59050	
103	GRID-   5-R4C3	TWIST neighbor		DNA segment, Chr 16, Wayne State University 83, expressed	BG067677 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067677>	Twistnb	196472	28071	
104	GRID-   5-R4C4	transportin 1	Homo sapiens mRNA; cDNA  DKFZp586I1518 (from clone DKFZp586I1518)	expressed sequence AU021749	BG068030 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068030>	Tnpo1	29005	105287	
105	GRID-   5-R4C5	DNA segment, Chr 16, ERATO Doi 480, expressed		Mus musculus, clone IMAGE:4947068, mRNA	BG068393 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068393>	D16Ertd480e	24035	212514	
106	GRID-   5-R5C1		Mus musculus zinc finger protein 40  (Zfp40), mRNA	expressed sequence AU019176	BG081781 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081781>		43477	-	
107	GRID-   5-R5C2	Transcribed sequences		ESTs	BG069123 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069123>		173776	-	
108	GRID-   5-R5C3	RIKEN cDNA 6030468D11 gene	Homo sapiens cDNA FLJ13119 fis,  clone NT2RP3002671, weakly similar to ELONGATION FACTOR 2	no value	BG069494 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069494>	6030468D11Rik	196383	52437	
109	GRID-   5-R5C4		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG082809 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082809>		no value	-	
110	GRID-   5-R5C5	Transcribed sequences		ESTs	BG070220 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070220>		173216	-	
111	GRID-   6-R1C1	EST AA407452	Homo sapiens clone PP902 unknown  mRNA	EST AA407452	BG063017 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063017>	AA407452	30860	57867	
112	GRID-   6-R1C2	thioredoxin reductase 1	Mus musculus thioredoxin reductase 1  (Txnrd1), mRNA	thioredoxin reductase 1	BG076728 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076728>	Txnrd1	44552	50493	
113	GRID-   6-R1C3	dynein, cytoplasmic, light chain 1	Mus musculus dynein, cytoplasmic, light  chain 1 (Dnclc1), mRNA	dynein, cytoplasmic, light chain 1	BG076954 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076954>	Dnclc1	29908	56455	
114	GRID-   6-R1C4	Hbs1-like (S. cerevisiae)	Mus musculus Hbs1-like (S. cerevisiae)  (Hbs1l), mRNA	Hbs1-like (S. cerevisiae)	BG063901 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063901>	Hbs1l	28882	56422	
115	GRID-   6-R1C5			no value	AW543947 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW543947>		no value	-	
116	GRID-   6-R2C1	RIKEN cDNA 6330575P11 gene		Mus musculus, Similar to hypothetical protein FLJ20274, clone MGC:7161 IMAGE:3257051, mRNA, complete cds	BG064553 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064553>	6330575P11Rik	26392	233802	
117	GRID-   6-R2C3	stearoyl-Coenzyme A desaturase 2	Mus musculus stearoyl-Coenzyme A  desaturase 2 (Scd2), mRNA	stearoyl-Coenzyme A desaturase 2	BG064900 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064900>	Scd2	193096	20250	
118	GRID-   6-R2C4	laminin, alpha 1	Mus musculus laminin, alpha 1 (Lama1),  mRNA	laminin, alpha 1	BG065266 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065266>	Lama1	243	16772	
119	GRID-   6-R2C5	CDNA clone IMAGE:1548559, partial cds		ESTs	C76156 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C76156>		103182	-	
120	GRID-   6-R3C1	Transcribed sequence with weak similarity to protein ref:NP_443092.1 (H.sapiens) kruppel-like zinc finger protein [Homo sapiens]	Mus musculus mRNA for mszf34,  partial cds	expressed sequence AI467481	BG079209 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079209>		35121	100145	
121	GRID-   6-R3C2	serine-arginine repressor protein		DNA segment, Chr 4, ERATO Doi 199, expressed	BG066281 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066281>	Srrp	155159	52344	
122	GRID-   6-R3C4	cytochrome P450, family 2, subfamily s, polypeptide 1		RIKEN cDNA 1200011C15 gene	BG066539 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066539>	Cyp2s1	23710	74134	
123	GRID-   6-R3C5	Transcribed sequences		no value	C81187 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C81187>		no value	-	
124	GRID-   6-R4C1	retinol dehydrogenase 11	Mus musculus cell line MC/9.IL4  derived transcript 1 (Mdt1), mRNA	no value	BG080391 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080391>	Rdh11	182910	17252	
125	GRID-   6-R4C3	RIKEN cDNA D930015E06 gene	Homo sapiens cDNA FLJ10592 fis,  clone NT2RP2004614, highly similar to Homo sapiens mRNA  for KIAA0922 protein	Mus musculus, Similar to KIAA0922 protein, clone IMAGE:4935316, mRNA, partial cds	BG080662 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080662>	D930015E06Rik	28838	-	
126	GRID-   6-R4C4			DNA segment, Chr 2, ERATO Doi 501, expressed	BG068042 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068042>		155628	52346	
127	GRID-   6-R4C5	component of oligomeric golgi complex 5	Homo sapiens Golgi transport complex  protein (90 kDa) (GTC90), mRNA	no value	BG068404 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068404>	Cog5	173569	97838	
128	GRID-   6-R5C1	Adult male hippocampus cDNA, RIKEN full-length enriched library, clone:C630002N03 product:unknown EST, full insert sequence		expressed sequence AU023762	BG068768 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068768>		11986	102688	
129	GRID-   6-R5C2	Transcribed sequences	Mus musculus proton-dependent high  affinity oligopeptide transporter (Pept2) gene, complete  cds	ESTs	BG069134 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069134>		173779	-	
130	GRID-   6-R5C3	Transcribed sequence with moderate similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		expressed sequence AU019559	BG069506 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069506>		173412	102225	
131	GRID-   6-R5C4		Mus musculus ES2 protein (Es2)  mRNA, complete cds	expressed sequence 2 embryonic lethal	BG082821 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082821>		10094	27886	
132	GRID-   6-R5C5	RNA binding motif protein 14	Mus musculus RNA binding motif protein 4  (Rbm4), mRNA	RNA binding motif protein 4	BG070232 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070232>	Rbm14	542	19653	
133	GRID-   7-R1C1	complement component 1, q subcomponent binding protein	Mus musculus complement component 1, q  subcomponent binding protein (C1qbp), mRNA	complement component 1, q subcomponent binding protein	BG062931 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG062931>	C1qbp	30049	12261	
134	GRID-   7-R1C2	H19 fetal liver mRNA	Mus musculus H19 and  muscle-specific Nctc1 genes, complete sequence	H19 fetal liver mRNA	BG076718 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076718>	H19	14802	14955	
135	GRID-   7-R1C3	serine (or cysteine) proteinase inhibitor, clade B, member 9c	Mus musculus serine protease inhibitor 6  (Spi6), mRNA	no value	BG063578 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063578>	Serpinb9c	197676	20707	
136	GRID-   7-R1C4	F-box only protein 6b	Mus musculus f-box only protein 6b  (Fbxo6b), mRNA	f-box only protein 6b	BG063892 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063892>	Fbxo6b	27445	50762	
137	GRID-   7-R1C5	Transcribed sequence with weak similarity to protein ref:NP_286085.1 (E. coli) beta-D-galactosidase [Escherichia coli O157:H7 EDL933]	Homo sapiens eukaryotic translation  initiation factor 3, subunit 1 (alpha, 35kD) (EIF3S1),  mRNA	Mus musculus, Similar to eukaryotic translation initiation factor 3, subunit 1 (alpha, 35kD), clone MGC:8215 IMAGE:3591077, mRNA, complete cds	AW543832 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW543832>		27695	78655	
138	GRID-   7-R2C1			ESTs	BG064545 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064545>		179227	-	
139	GRID-   7-R2C3	RIKEN cDNA 1110007M04 gene	Homo sapiens HRPAP20 short form  (LOC57090), mRNA	RIKEN cDNA 1110007M04 gene	BG064890 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064890>	1110007M04Rik	28983	68493	
140	GRID-   7-R2C4	POU domain, class 3, transcription factor 1	Mouse scip POU-domain protein,  complete cds	ESTs	BG078543 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078543>	Pou3f1	116727	-	
141	GRID-   7-R2C5	Transcribed sequences		expressed sequence C75939	BG065591 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065591>		25583	97681	
142	GRID-   7-R3C1			no value	BG065931 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065931>		no value	-	
143	GRID-   7-R3C2	lysyl-tRNA synthetase	Homo sapiens lysyl-tRNA synthetase  (KARS), mRNA	lysyl-tRNA synthetase	BG066271 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066271>	Kars	196544	85305	
144	GRID-   7-R3C4	Similar to hypothetical protein MGC33442 (LOC226990), mRNA		DNA segment, Chr 1, ERATO Doi 259, expressed	BG066528 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066528>		5873	52305	
145	GRID-   7-R3C5		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	C81132 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C81132>		no value	-	
146	GRID-   7-R4C1	myeloid ecotropic viral integration site-related gene 1	Mus musculus homeobox protein Meis2  mRNA, complete cds	myeloid ecotropic viral integration site-related gene 1	BG067314 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067314>	Mrg1	31436	17536	
147	GRID-   7-R4C3	Transcribed sequences	Homo sapiens cDNA FLJ14284 fis,  clone PLACE1005898	ESTs	BG067678 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067678>		25466	-	
148	GRID-   7-R4C4	12 days embryo female mullerian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6820416N07 product:unknown EST, full insert sequence		RIKEN cDNA 6720468P15 gene	BG068031 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068031>		12411	78073	
149	GRID-   7-R4C5	Transcribed sequences		no value	BG068394 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068394>		no value	-	
150	GRID-   7-R5C1	frequently rearranged in advanced T-cell lymphomas 2		ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1	BG068757 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068757>	Frat2	21961	-	
151	GRID-   7-R5C2	striatin, calmodulin binding protein		ESTs	BG069124 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069124>	Strn	24516	-	
152	GRID-   7-R5C3	golgi autoantigen, golgin subfamily a, 4	Mus musculus golgi autoantigen, golgin  subfamily a, 4 (Golga4), mRNA	golgi autoantigen, golgin subfamily a, 4	BG069495 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069495>	Golga4	10409	54214	
153	GRID-   7-R5C4			no value	BG069868 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069868>		196588	15598	
154	GRID-   7-R5C5	CUG triplet repeat, RNA binding protein 1	Homo sapiens protein-kinase,  interferon-inducible double stranded RNA dependent  inhibitor (PRKRI), mRNA	Mus musculus, clone MGC:7480 IMAGE:3490700, mRNA, complete cds	BG083146 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083146>	Cugbp1	29495	-	
155	GRID-   8-R1C1	cytochrome c oxidase, subunit VIIa 2		no value	BG063018 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063018>	Cox7a2	196483	69981	
156	GRID-   8-R1C2	downstream of tyrosine kinase 4	Homo sapiens hypothetical protein FLJ10488 (FLJ10488), mRNA	downstream of tyrosine kinase 4	AA408679 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA408679>	Dok4	203949	114255	
157	GRID-   8-R1C3	flap structure specific endonuclease 1	Mus musculus flap structure specific  endonuclease 1 (Fen1), mRNA	flap structure specific endonuclease 1	BG063590 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063590>	Fen1	2952	14156	
158	GRID-   8-R1C4	RIKEN cDNA B230106I24 gene		ESTs, Weakly similar to AF182426 1 arylacetamide deacetylase [R.norvegicus]	BG063902 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063902>	B230106I24Rik	24576	-	
159	GRID-   8-R1C5	Atpase, class I, type 8B, member 2	Homo sapiens mRNA for KIAA1137  protein, partial cds	ESTs, Weakly similar to  ATPase, class 1, member a; ATPase 8A2, p type; ATPase 8A2, class I [Mus musculus] [M.musculus]	BG064229 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064229>	Atp8b2	30455	-	
160	GRID-   8-R2C1	synaptophysin-like protein		expressed sequence AI604763	BG064554 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064554>	Sypl	202166	104856	
161	GRID-   8-R2C3	ARP10 actin-related protein 10 homolog (S. cerevisiae)	Mus musculus actin-related protein 11  homolog  (S. cerevisiae) (Actr11-pending), mRNA	actin-related protein 11 homolog  (S. cerevisiae)	BG064901 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064901>	Actr10	29317	56444	
162	GRID-   8-R2C4			no value	AW537110 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW537110>		no value	-	
163	GRID-   8-R2C5	expressed sequence AI643885	Homo sapiens solute carrier family 7  (cationic amino acid transporter, y+ system), member 6  (SLC7A6), mRNA	expressed sequence AI643885	C76157 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C76157>	AI643885	46749	102129	
164	GRID-   8-R3C1	Transcribed sequence with strong similarity to protein ref:NP_005265.1 (H.sapiens) guanine nucleotide binding protein	Mus musculus G protein gamma 5  subunit mRNA, partial cds	Mus musculus, guanine nucleotide binding protein (G protein), gamma 5, clone MGC:8292 IMAGE:3593324, mRNA, complete cds	BG079210 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079210>		140804	-	
165	GRID-   8-R3C2	Transcribed sequences		expressed sequence C78704	BG066282 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066282>		5740	97868	
166	GRID-   8-R3C4	nemo like kinase	Homo sapiens cDNA: FLJ21033 fis,  clone CAE09040, highly similar to AF197898 Homo sapiens  nemo-like kinase mRNA	DNA segment, Chr 2, Abbott 1 expressed	BG066540 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066540>	Nlk	195943	27759	
167	GRID-   8-R3C5	Transcribed sequences		DNA segment, Chr 7, ERATO Doi 351, expressed	C81188 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C81188>		155140	52293	
168	GRID-   8-R4C1	Transcribed sequences		expressed sequence C85938	BG067323 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067323>		173007	97017	
169	GRID-   8-R4C3	ubiquitin specific protease 30		DNA segment, Chr 5, ERATO Doi 483, expressed	BG067690 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067690>	Usp30	7817	52294	
170	GRID-   8-R4C4	RIKEN cDNA 4933400E14 gene		RIKEN cDNA 4933400E14 gene	BG068043 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068043>	4933400E14Rik	87451	71007	
171	GRID-   8-R4C5			expressed sequence AU022804	BG068405 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068405>		173570	98578	
172	GRID-   8-R5C1	Adult male hippocampus cDNA, RIKEN full-length enriched library, clone:C630002N03 product:unknown EST, full insert sequence		expressed sequence AU023762	BG068769 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068769>		11986	102688	
173	GRID-   8-R5C2			expressed sequence AU024699	BG069135 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069135>		27576	98586	
174	GRID-   8-R5C3	Clone MBI-115 H/ACA box snoRNA, partial sequence		ESTs	BG069507 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069507>		173413	-	
175	GRID-   8-R5C4	Adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330009N23 product:unknown EST, full insert sequence		no value	BG069880 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069880>		103277	105968	
176	GRID-   8-R5C5	Transcribed sequences		expressed sequence AU015263	BG070233 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070233>		18104	101736	
177	GRID-   9-R1C1	12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130047A11 product:hypothetical protein, full insert sequence		ESTs, Weakly similar to T17261 hypothetical protein DKFZp727I051.1 [H.sapiens]	BG062932 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG062932>		37988	-	
178	GRID-   9-R1C2	Similar to pregnancy specific glycoprotein 19	Mus musculus pregnancy specific  glycoprotein 19 (Psg19), mRNA	no value	BG076719 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076719>	LOC243862	no value	-	
179	GRID-   9-R1C3	0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630027M10 product:unknown EST, full insert sequence		ESTs	BG063579 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063579>		102551	-	
180	GRID-   9-R1C4			no value	AW539601 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW539601>		no value	-	
181	GRID-   9-R1C5	RIKEN cDNA 2410004L22 gene		RIKEN cDNA 2410004L22 gene	BG064220 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064220>	2410004L22Rik	27355	76478	
182	GRID-   9-R2C1	hypothetical protein D030051D21	Homo sapiens KIAA1052 protein  (KIAA1052), mRNA	no value	BG077960 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077960>	D030051D21	24014	-	
183	GRID-   9-R2C3	eukaryotic translation initiation factor 3, subunit 6 interacting protein	Homo sapiens HSPC025 (HSPC025), mRNA	no value	BG064891 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064891>	Eif3s6ip	30194	223691	
184	GRID-   9-R2C4	chromosome segregation 1-like (S. cerevisiae)	Mus musculus cellular apoptosis  susceptibility protein mRNA, complete cds	chromosome segregation 1-like (S. cerevisiae)	BG065256 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065256>	Cse1l	22417	110750	
185	GRID-   9-R2C5	Transcribed sequences		ESTs	BG065592 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065592>		24905	-	
186	GRID-   9-R3C1	golgi autoantigen, golgin subfamily a, 4	Mus musculus golgi autoantigen, golgin  subfamily a, 4 (Golga4), mRNA	golgi autoantigen, golgin subfamily a, 4	BG079199 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079199>	Golga4	10409	54214	
187	GRID-   9-R3C2			no value	BG066272 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066272>		no value	-	
188	GRID-   9-R3C4	ribonuclease T2	Homo sapiens ribonuclease 6 precursor  (RNASE6PL), mRNA	RIKEN cDNA 0610007O07 gene	BG079781 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079781>	Rnaset2	181237	68195	
